model,file,bleu,chrf2,comet,cometkiwi,lines,urls,usernames,hashtags,urls_per_line,usernames_per_line,hashtags_per_line
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.898228790387606,57.27555149086818,79.89847519882022,76.51340549588204,4000,905,558,6835,0.22625,0.1395,1.70875
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,40.238792916421225,53.989449911961295,75.18918559923769,70.61960798352956,4000,1155,536,7329,0.28875,0.134,1.83225
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,40.42339899915184,55.59536799031469,75.11372747123242,70.34305200427771,4000,1109,497,7170,0.27725,0.12425,1.7925
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.335111087571725,55.36888603298789,80.95555362403393,76.72904448732734,4000,1099,555,7638,0.27475,0.13875,1.9095
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,41.65299807561399,56.45695877674163,77.58820508271455,72.6126921840012,4000,1148,560,7421,0.287,0.14,1.85525
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,41.16478057101142,55.95232847284014,76.32561386115849,71.29063715189695,4000,1128,522,7311,0.282,0.1305,1.82775
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.9507885017882,58.98623764834044,85.27151354774833,79.89401373639703,4000,1268,595,7950,0.317,0.14875,1.9875
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.658789328568396,58.78451999959583,84.9203752361238,79.9654624953866,4000,1231,572,7647,0.30775,0.143,1.91175
google/gemma-2-9b-it,detok.twitter.sent.en.txt.default.out.postproc,43.39511444342299,56.49614102168235,83.21802773922681,79.41345047801734,4000,1144,494,7128,0.286,0.1235,1.782
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.293644009771356,62.80392896021257,86.19652248248458,78.81344364807009,4000,1265,597,7871,0.31625,0.14925,1.96775
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.541875657580675,60.48033778271626,85.60270406901836,79.6812283091247,4000,1260,597,7874,0.315,0.14925,1.9685
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.mmtc.out.postproc,47.42746112822976,61.88389880881261,85.82031246647239,78.11752439886331,4000,1260,598,8260,0.315,0.1495,2.065
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.rocsmt.out.postproc,47.24429448671602,61.85249844657142,85.84012613743543,78.21281253397466,4000,1260,598,8265,0.315,0.1495,2.06625
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.default.out.postproc,46.07489305500667,60.88121912453156,85.25426808856427,78.11201820224524,4000,1259,597,7965,0.31475,0.14925,1.99125
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.pfsmb.out.postproc,47.54115534133435,62.07441440690984,85.82236471176148,77.96870145499706,4000,1261,598,8024,0.31525,0.1495,2.006
Unbabel/TowerInstruct-7B-v0.2,detok.twitter.sent.en.txt.footweets.out.postproc,47.45332608785799,61.92185786341919,85.84952898472548,78.31521098986268,4000,1261,599,8261,0.31525,0.14975,2.06525
